ProvinceAvr,TousAges,0-4 ans,5-9 ans,10-14 ans,15-19 ans,20-24 ans,25-29 ans,30-34 ans,35-39 ans,40-44 ans,45-49 ans,50-54 ans,55-59 ans,60-64 ans,65-69 ans,70-74 ans,75-79 ans,80-84 ans,85-89 ans,90-94 ans,95-99 ans,100 ans et plus,AgeMedian
NL,522103,20402,23376,26186,26994,28910,28076,28942,30151,31426,35754,40214,43105,42339,39718,33179,20458,12617,6662,2715,751,128,47.4
ON,14734014,723016,762654,792947,852405,1039661,1077433,1041952,992844,921378,932058,968546,1073519,961243,803962,673546,461015,319548,204227,98638,29527,3895,40.4
MB,1379263,85220,89507,86583,85808,96636,97157,98789,95203,86739,82541,80302,89949,83163,70981,57001,38329,25922,16952,8968,3010,503,37.6
QC,8574571,430250,465890,457420,426496,499370,564669,548066,578273,581724,527233,546847,637724,619126,529279,440008,313752,198497,128147,60879,18086,2835,42.7
NB,781476,33582,38199,40354,40662,43490,43981,44703,46655,48179,51551,54044,63300,61514,55477,46962,30462,19475,11705,5213,1704,264,46.1
YT,42052,2413,2508,2246,2067,2346,2828,3468,3549,3050,2864,2753,3233,3116,2385,1532,862,464,246,84,31,7,39.4
NT,45161,2963,3081,3010,2793,3028,3688,3705,3405,3348,2919,3238,3389,2619,1818,1048,603,293,133,57,21,2,35.5
NS,979351,42443,46177,48170,50776,61556,63359,61264,58683,56907,61194,65276,78780,75941,66676,57399,37734,24225,14184,6318,1930,359,45
SK,1178681,75200,78696,76730,71304,75402,77488,85751,86664,76067,67397,65716,77024,74222,62071,46528,31910,22791,15931,8492,2773,524,37.8
PE,159625,7199,8248,8966,9340,11577,10321,9212,9314,9586,10231,10319,12005,11350,10116,9106,5589,3641,2244,935,281,45,42.9
AB,4421876,269163,277785,276328,256742,277328,314507,356226,359301,319889,288546,266489,284259,264339,210073,157657,102977,68565,44033,20921,5746,1002,37.5
NU,39353,4196,4276,3987,3283,3173,3276,3179,2767,2334,2154,2277,1761,1119,698,459,235,114,41,18,3,3,26.2
BC,5147712,225897,244206,249173,272195,340325,358457,376466,363871,323620,325674,343894,376848,360150,314021,262197,174377,115218,73205,35355,10613,1950,42.2
